sep=,
"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C11","Перевод с русского на английский язык","Nadezhda Mankovskaya","10/9/2020 12:04 PM","","","High","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/12/2020 1:27 PM"
"C12","Перевод с английского на русский язык","Nadezhda Mankovskaya","10/9/2020 12:04 PM","","","High","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/12/2020 1:39 PM"
"C48","Ввод спецсимволов","Nadezhda Mankovskaya","10/12/2020 2:00 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 12:44 PM"
"C13","Автозамена указанного языка ввода при введении текста с раскладки отличной от указанной","Nadezhda Mankovskaya","10/9/2020 12:07 PM","","","High","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/12/2020 1:42 PM"
"C45","Замена языка ввода языком перевода  посредством кнопки ""Переключить направление""","Nadezhda Mankovskaya","10/12/2020 1:58 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 12:43 PM"
"C14","Подсказка с автозаполнением при введении части слова","Nadezhda Mankovskaya","10/9/2020 12:09 PM","","","Low","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/12/2020 1:55 PM"
"C15","Очистка текста из поля ввода","Nadezhda Mankovskaya","10/9/2020 12:10 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/12/2020 2:31 PM"
"C16","Озвучка введенного текста","Nadezhda Mankovskaya","10/9/2020 12:10 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/12/2020 4:29 PM"
"C17","Озвучка переведенного текста","Nadezhda Mankovskaya","10/9/2020 12:11 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/12/2020 4:29 PM"
"C18","Голосовой ввод текста","Nadezhda Mankovskaya","10/9/2020 1:14 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/12/2020 4:27 PM"
"C19","Ввод текста с помощью встроенной экранной клавиатуры","Nadezhda Mankovskaya","10/9/2020 1:20 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/12/2020 4:37 PM"
"C20","Ввод спецсимволов с помощью экранной клавиатуры","Nadezhda Mankovskaya","10/9/2020 1:20 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/12/2020 4:46 PM"
"C21","Автоисправление опечаток","Nadezhda Mankovskaya","10/9/2020 1:22 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/12/2020 4:53 PM"
"C22","Создание подборки переводов с помощью кнопки переключателя  ""Добавить в подборку"" / ""Удалить из подборки""","Nadezhda Mankovskaya","10/9/2020 1:25 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/13/2020 2:17 PM"
"C52","Просмотр  подборок переводов","Nadezhda Mankovskaya","10/12/2020 5:08 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/13/2020 2:10 PM"
"C51","Удаление из подборки переводов с помощью кнопки переключателя  ""Добавить в подборку"" / ""Удалить из подборки""","Nadezhda Mankovskaya","10/12/2020 5:08 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/13/2020 2:23 PM"
"C50","Изменение подборки переводов","Nadezhda Mankovskaya","10/12/2020 5:07 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/13/2020 2:38 PM"
"C23","Просмотр истории переводов","Nadezhda Mankovskaya","10/9/2020 1:26 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/13/2020 2:57 PM"
"C24","Копирование переведенного текста","Nadezhda Mankovskaya","10/9/2020 1:26 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/13/2020 3:05 PM"
"C25","Оценка перевода ""Хороший перевод""","Nadezhda Mankovskaya","10/9/2020 1:26 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/13/2020 3:36 PM"
"C53","Оценка перевода ""Плохой перевод""","Nadezhda Mankovskaya","10/12/2020 5:10 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/13/2020 3:35 PM"
"C26","Отправка ссылки на перевод в  VK","Nadezhda Mankovskaya","10/9/2020 1:27 PM","","","Medium","","Text","1","","Master","S3","Other","Nadezhda Mankovskaya","10/13/2020 3:51 PM"
"C57","Отправка ссылки на перевод  на электронную  почту","Nadezhda Mankovskaya","10/13/2020 3:54 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/13/2020 4:00 PM"
"C58","Поиск переведенного слова в Яндексе","Nadezhda Mankovskaya","10/13/2020 3:54 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/13/2020 4:02 PM"
"C56","Отправка ссылки на перевод в Facebook","Nadezhda Mankovskaya","10/13/2020 3:53 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/13/2020 4:08 PM"
"C55","Отправка ссылки на перевод в  ОК","Nadezhda Mankovskaya","10/13/2020 3:53 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 11:07 AM"
"C46","Отображение связанной со словом информации в блоке ""Связанные слова""","Nadezhda Mankovskaya","10/12/2020 1:59 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 11:24 AM"
"C60","Отображение связанной со словом информации в блоке ""Словарь""","Nadezhda Mankovskaya","10/14/2020 11:13 AM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 11:25 AM"
"C59","Отображение связанной со словом информации  в блоке  ""Примеры""","Nadezhda Mankovskaya","10/14/2020 11:13 AM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 11:23 AM"
"C61","Отображение связанной со словом информации  в блоке ""прочие переводы""","Nadezhda Mankovskaya","10/14/2020 11:15 AM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 11:45 AM"
"C47","Лимит введенных символов","Nadezhda Mankovskaya","10/12/2020 2:00 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 12:14 PM"
"C62","Превышение лимита введенных символов","Nadezhda Mankovskaya","10/14/2020 12:15 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 12:18 PM"
"C49","Перевод в Google","Nadezhda Mankovskaya","10/12/2020 2:13 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 12:41 PM"
"C54","Перевод в Bing","Nadezhda Mankovskaya","10/12/2020 5:11 PM","","","Medium","","Text","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 12:43 PM"
"C38","Добавить картинку с текстом в формате png","Nadezhda Mankovskaya","10/9/2020 1:45 PM","","","Medium","","Pictures","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 12:58 PM"
"C39","Добавить картинку без текста","Nadezhda Mankovskaya","10/9/2020 1:46 PM","","","Medium","","Pictures","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 1:09 PM"
"C40","Добавить картинку c текстом в формате  jpeg","Nadezhda Mankovskaya","10/9/2020 1:51 PM","","","Medium","","Pictures","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 1:00 PM"
"C42","Перетащить картинку в поле загрузки","Nadezhda Mankovskaya","10/9/2020 1:52 PM","","","Medium","","Pictures","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 1:15 PM"
"C43","Очистить экран перевода картинки","Nadezhda Mankovskaya","10/9/2020 1:53 PM","","","Medium","","Pictures","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 1:18 PM"
"C44","При неудачной загрузке воспользоваться кнопкой "" повторить загрузку""","Nadezhda Mankovskaya","10/9/2020 1:54 PM","","","Medium","","Pictures","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 1:13 PM"
"C32","Загрузить пустой документ, размером 0 байт","Nadezhda Mankovskaya","10/9/2020 1:41 PM","","","Medium","","Document","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 1:32 PM"
"C33","Загрузить документ размеров выше 5 мб","Nadezhda Mankovskaya","10/9/2020 1:41 PM","","","Medium","","Document","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 1:40 PM"
"C34","Загрузить документ допустимого формата и размера","Nadezhda Mankovskaya","10/9/2020 1:42 PM","","","Medium","","Document","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 1:44 PM"
"C36","Перетащить документ в поле загрузки","Nadezhda Mankovskaya","10/9/2020 1:43 PM","","","Medium","","Document","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 1:51 PM"
"C37","Скачать переведенный документ","Nadezhda Mankovskaya","10/9/2020 1:45 PM","","","Medium","","Document","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 2:05 PM"
"C30","Адрес сайта введен верно","Nadezhda Mankovskaya","10/9/2020 1:36 PM","","","Medium","","Site","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 2:14 PM"
"C27","Адрес сайта введен не верно","Nadezhda Mankovskaya","10/9/2020 1:35 PM","","","Medium","","Site","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 2:18 PM"
"C28","Вертикальное отображение окна","Nadezhda Mankovskaya","10/9/2020 1:35 PM","","","Medium","","Site","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 2:26 PM"
"C29","Горизонтальное отображение окна","Nadezhda Mankovskaya","10/9/2020 1:36 PM","","","Medium","","Site","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 2:29 PM"
"C31","Отправка ссылки на перевод","Nadezhda Mankovskaya","10/9/2020 1:37 PM","","","Medium","","Site","1","","Master","S3","Functional","Nadezhda Mankovskaya","10/14/2020 2:36 PM"
